some ppl aren’t as active as they used to be in here pls i miss you guys so much,80,💔
they gave me: lesbian i am: bi :) they gave me: single i am: single pringle they gave me: 16 i am: 16 :) they gave me: 166 i am: 164/5 reply and i’ll give you one <3333,168,💔
HE HELPED IN THE POLITICAL LANDSCAPE OF THE CULTIVATION WORLD HE JUST FR DIDNT THINK HIS BEST BRO WAS INSANE,108,💔
Someone just created her karma here with this hate comment #SushanthSinghRajput #SushantSingh,93,💔
no one will vote for me cause most of the it stans that have known me forever are gone,86,💔
I’m tired of the same niggas I did so much for shit on me like I’ve done absolutely nothing... That shit hurts,110,💔
iM aN aRmY tOo dOnT gEt mE wRoNg i LoVe tHe bOyS bUt i sTiLl sTaNd bY wHat I sAiD,81,💔
LMFAO please never simp it’s not actually my favorite poem my favorite poem is I am Perfect and You are Not,107,💔
"COVID 19 sucks. In so many ways. It's terrifying, and we have so much to learn. I just don't think it's safe to open schools.",125,💔
the trials r definitely the most fun. i’ve listened to all the soundtracks already and i think i still like sdr2 or udg the best. i just don’t feel like the story will be as good as the first two. since like this game isn’t a sequel (i think). hopefully it proves me wrong tho,276,💔
69 be in the crib popping shit. You can’t even come outside. Fucc that rainbow rat faggot,89,💔
Are they his kids ? Or just a photo op with someone else's kids. I'm very concerned for these little ones. It's written all over their faces.,141,💔
Did it come bearing a rose Tthhssingle tthhssexy tthhssnake looking for tthhssolemate and potthhssibly Trhhsserious inquires only +=,132,💔
bro just realized if i’m going to have a brown cow in my cottagecore daydream i gotta wake up and feed it early as hell i’m shaking,131,💔
you're right hq fans do tend to do that i thought he was funny when i first watched s4 but everyone hates him fksbncc,117,💔
"i wonder if minx knows who i am that would be kinda pog, but im also like pretty irelevant NSKDNKD i mean i DID make that one thing that one time for minx and she saw it but man",177,💔
"I don't know what a lie anymore, I don't know what is true anymore, tired of this fucking reality",97,💔
(B) it hurts when i feel this way and i have all of these feelings and i’m not getting anything back in return i’m lonely,121,💔
I'm so sorry to tell you guys this. I know what I did was wrong. and I know I should've told yall about my monster cock. I'm sorry it's so long I didnt mean to hurt you,168,💔
"""Crying Out Loud"" is everything I never knew I needed in 2020. I love this band. Forever @State_Champs @dereksteez @tyszal @RyanScottGraham @evan_ambro #cryingoutloud #statechamps",179,💔
"I lost my grandmother on Saturday, I have not been able to get proper sleep since. Finding it really hard to deal with this new reality.",136,💔
"If anybody lives in a country where economy isnt unstable and you don't pay an unbelieveble amount of money to the fucking government and can buy things because you work. Please let me know, i would love to work as a maid for you.",230,💔
I tried to order the black sweater but when i put my credict card number my country's aduana (i dont know how it is in english) email me that i had to pay four times more. I hate my country sometimes +,201,💔
"Doesn't the PM (Scott Morrison), wear the countenance of 'arrogant impatience' so well? Anyone would think it untenable these days to ask a question of the Prime Minister, even if its of the soft variety. Seems accountability went the way of integrity with this Govt. #auspol",275,💔
"stole from tl! what mutual am i? toxic mutual - always fighting w someone, unpopular opinions, no chill soft/chill mutual - worth protecting, sweet, good vibes crush mutual - can we hold hands pls and cuddle popular mutual - intimidating, scared to dm or to reply",263,💔
I don't understand where are you so busy?? What is it that involve things more important than me,96,💔
well it happened i didn’t even EAT THE SANDWHICH EITHER IT WAS INGULFED IN FLAMES,81,💔
